"","Measure","Count.Total","Mean.Total","SD.Total","Count.ASD1","Mean.ASD1","SD.ASD1","Count.ASD2","Mean.ASD2","SD.ASD2","F.Value","F.df1","F.df2","Fsig","CohensD","t.Value","t.df","t.p","tp.adj","Significance"
"1","CIS_P_Score",125,14.504,8.26635622032406,94,14.7234042553191,8.1510000116341,31,13.8387096774194,8.71051768149115,0.875656658065006,93,30,0.616452483202973,0.106706054615148,0.498127807722172,48.5233053179173,0.62064427045013,7.63895958427361,""
"2","CIS_SR_Total",118,12.8389830508475,10.3799365468995,88,12.7727272727273,10.2404733106392,30,13.0333333333333,10.9559724960103,0.873651432595787,87,29,0.617891950962039,-0.0250006932805774,-0.11436268539507,47.4440885648782,0.909432906404832,11.1934026420586,""
"3","DTS_Total",132,32.2651515151515,13.0821595484136,101,32.6732673267327,13.1210585784007,31,30.9354838709677,13.0790812212249,1.00642930794638,100,30,0.975005960944516,0.132540053135722,0.646614387304627,49.9665265639212,0.520840830481056,6.41056760420699,""
"4","RBS_Total",118,50.7203389830508,34.9397248002167,89,50.1573033707865,34.6301559588816,29,52.448275862069,36.4413287813405,0.903068067321898,88,28,0.699084892438686,-0.0653147186570063,-0.297587179553986,45.6453547730787,0.767368510231797,9.44485805315423,""
"5","SCQ_Total",145,11.7241379310345,5.6390044908219,114,11.719298245614,5.46996428120843,31,11.741935483871,6.31911250063638,0.74930185240891,113,30,0.283329952131313,-0.00400044557513989,-0.0181793643825274,42.9970411258225,0.985579863727057,12.1306279692625,""
"6","PSI_Total",128,87.6171875,23.5880395068261,98,89.0714285714286,23.6247511305279,30,82.8666666666667,23.2226603562768,1.03492896902295,97,29,0.95229998220984,0.26366424416312,1.27529717299132,48.8210262828523,0.208239424232531,2.56303428759764,""
"7","SCARED_P_Total",140,16.6142857142857,11.9739439625588,109,16.3302752293578,11.6754372159164,31,17.6129032258065,13.1242204069546,0.791405884273542,108,30,0.384038530645147,-0.106838727935867,-0.491616041637945,44.3997291497223,0.625412520909385,7.69764774797731,""
"8","SCARED_SR_Total",107,22.0654205607477,15.4475808865333,83,20.6506024096386,14.0811530630093,24,26.9583333333333,18.9907967794624,0.549781429052341,82,23,0.0524098717181632,-0.412485059924651,-1.51146795707567,30.6765666361041,0.140903234671119,1.73425288235636,""
