"","Measure","Count.Total","Mean.Total","SD.Total","Count.ASD1","Mean.ASD1","SD.ASD1","Count.ASD2","Mean.ASD2","SD.ASD2","F.Value","F.df1","F.df2","Fsig","CohensD","t.Value","t.df","t.p","tp.adj","Significance"
"1","ASSQ_Total",145,17.7448275862069,10.9422596376165,114,17.4561403508772,10.6912753702294,31,18.8064516129032,11.9454854926836,0.801034868122986,113,30,0.404856076469588,-0.123132885006307,-0.570319788447184,43.9394563306789,0.571365854097313,7.03243528554261,""
"2","SRS_Total",143,82.0909090909091,29.3516583236933,114,82.1140350877193,29.7100319078146,29,82,28.4052309065979,1.0939805190764,113,28,0.812909119303058,0.00387143324816499,0.0191215864498051,44.8914575122708,0.984828848423203,12.1213843883153,""
"3","SRS_AWR",143,10.5384615384615,3.48996394260648,114,10.6052631578947,3.51386236087827,29,10.2758620689655,3.44234712000131,1.04198188497734,113,28,0.939088649225931,0.0941205925858322,0.458155442738663,44.0441582706749,0.649093314556092,7.98911362336438,""
"4","SRS_COG",143,15.1258741258741,6.84729527445643,114,14.9912280701754,7.11410864700062,29,15.6551724137931,5.75869443332034,1.52613487727121,113,28,0.197243832423631,-0.0966964779202266,-0.526958422438573,52.0181948966217,0.600462628662647,7.39056166408164,""
"5","SRS_COM",143,27.6783216783217,10.5587567280563,114,27.5350877192982,10.7991968109739,29,28.2413793103448,9.71249259022991,1.23629328743394,113,28,0.527331394447913,-0.0666798911440202,-0.341564522893318,47.2238038518488,0.734193914438072,9.03654139164848,""
"6","SRS_MOT",143,12.2377622377622,6.11274130196601,114,12.3684210526316,6.1461019489005,29,11.7241379310345,6.05862167095158,1.02908643102121,113,28,0.971937708365274,0.105123358133934,0.509811014489401,43.8344848176239,0.612741254824804,7.54168837783524,""
"7","SRS_RRB",143,16.5104895104895,7.30219640203571,114,16.6140350877193,7.04411983727874,29,16.1034482758621,8.36380308056349,0.709325990580232,113,28,0.213392578492033,0.0697034677131184,0.302581492122458,38.7041914667586,0.763829061526157,9.40129411983478,""
