"","Measure","Count.Total","Mean.Total","SD.Total","Count.ASD1","Mean.ASD1","SD.ASD1","Count.ASD2","Mean.ASD2","SD.ASD2","t.Value","p","Significance"
"1","CIS_P_Score",125,14.504,8.26635622032406,94,14.7234042553191,8.1510000116341,31,13.8387096774194,8.71051768149115,0.498127807722172,0.62064427045013,""
"2","CIS_SR_Total",118,12.8389830508475,10.3799365468995,88,12.7727272727273,10.2404733106392,30,13.0333333333333,10.9559724960103,-0.11436268539507,0.909432906404832,""
"3","DTS_Total",132,32.2651515151515,13.0821595484136,101,32.6732673267327,13.1210585784007,31,30.9354838709677,13.0790812212249,0.646614387304627,0.520840830481056,""
"4","RBS_Total",118,50.7203389830508,34.9397248002167,89,50.1573033707865,34.6301559588816,29,52.448275862069,36.4413287813405,-0.297587179553986,0.767368510231797,""
"5","SCQ_Total",145,11.7241379310345,5.6390044908219,114,11.719298245614,5.46996428120843,31,11.741935483871,6.31911250063638,-0.0181793643825274,0.985579863727057,""
"6","PSI_Total",128,87.6171875,23.5880395068261,98,89.0714285714286,23.6247511305279,30,82.8666666666667,23.2226603562768,1.27529717299132,0.208239424232531,""
"7","SCARED_P_Total",140,16.6142857142857,11.9739439625588,109,16.3302752293578,11.6754372159164,31,17.6129032258065,13.1242204069546,-0.491616041637945,0.625412520909385,""
"8","SCARED_SR_Total",107,22.0654205607477,15.4475808865333,83,20.6506024096386,14.0811530630093,24,26.9583333333333,18.9907967794624,-1.51146795707567,0.140903234671119,""
