"","contrast","Max","VtxMax","Size.mm.2.","MNIX","MNIY","MNIZ","CWP","CWPLow","CWPHi","NVtxs","WghtVtx","Annot","analysis"
"40","noVars",5.89,102010,149.23,59.4,-53.5,5.2,0.0022,0.0014,0.003,281,1341.29,"middletemporal","ClusteredASDvtHC.rh.thickness"
"41","noVars",4.634,159038,146.12,51.8,-32.7,43.3,0.0028,0.0018,0.0038,310,1317.47,"supramarginal","ClusteredASDvtHC.rh.thickness"
"42","noVars",7.261,110280,134.72,45.4,35,-13.5,0.00519,0.004,0.00659,194,1055.9,"parsorbitalis","ClusteredASDvtHC.rh.thickness"
"43","noVars",6.172,121293,110.61,17.6,-32.7,60.4,0.01336,0.01137,0.01554,266,1333.2,"postcentral","ClusteredASDvtHC.rh.thickness"
"44","noVars",5.757,121365,106.42,39.9,-10.2,48.3,0.01594,0.01375,0.01832,245,1174.33,"precentral","ClusteredASDvtHC.rh.thickness"
"45","noVars",5.441,127137,87.08,66.4,-23.2,2.7,0.02859,0.02563,0.03155,239,1083.44,"superiortemporal","ClusteredASDvtHC.rh.thickness"
"46","noVars",6.36,143552,85.3,21.9,-15.6,-27.6,0.02958,0.02662,0.03273,177,893.55,"parahippocampal","ClusteredASDvtHC.rh.thickness"
"47","noVars",5.132,33053,84.8,36.1,-35.1,54.7,0.02997,0.02682,0.03312,203,919.29,"postcentral","ClusteredASDvtHC.rh.thickness"
"48","noVars",4.984,95539,78.38,18,26.1,54.2,0.0394,0.03587,0.04293,125,556.78,"superiorfrontal","ClusteredASDvtHC.rh.thickness"
"49","noVars",5.058,152767,74.57,53.4,-4.2,33.9,0.04391,0.04019,0.04762,147,659.92,"precentral","ClusteredASDvtHC.rh.thickness"
